interest,canonical,topic
computer systems architecture,,
messaging layers,,Network
robots,,
parallelized machine learning,,Data
parallel scientific computing,,HPC
wireless and mobile networks,,Network
high order pde discretization in complex geometry,,HPC
algorithm optimization,,
geochemistry,,
circuit-device co-optimization,,Architecture
data center energy efficiency,,Energy
hardware/software security,,Security
high performance computer architecture,,Architecture
databases and information systems,,DB
cloud infrastructure,,Cloud
programming language runtime,,Compilers
high performance software systems,,HPC
infrastructure optimization,,
performance qos,,
data center energy management,,Energy
fog/edge computing,,
nonlinear optimization and its applications,,
access grouping,,
exascale storage,,Storage
vmm,,OS
high performance virtual machine networking,,Network
system log analysis,,Benchmark
data-intensive scalable computing,,Data
parallel and distributed system,,Concurrency
network analytics,,Network
extended database technology,,DB
complex event processing,,
distributed event-based systems,,Concurrency
communications networks,,Network
energy efficiency in systems,,Energy
automated debugging,,
distributed system for big data,,Data
large-scale data management and applications,,Data
data management on modern hardware,,Data
query compilation,,DB
optimizing databases for heterogeneous processors,,DB
e-learning,,
general purpose gpu,,GPGPU
biomedical computing,,
ai,,
just-in-time compilers,,Compilers
implementation,,
xeon phi,,Architecture
processor,,Architecture
partial evaluation,,
formal analysis,,
cad of vlsi circuits,,Architecture
vectorization,,Concurrency
accelerators for deep learning models,,Data
vector,,
application acceleration,,
circuit and system co-optimization,,Architecture
verification tools for concurrency,,Concurrency
manycores,,Concurrency
cpu,,
algorithm refactoring,,
dynamic languages,,Compilers
medium access control,,
hardware security and trust,,Security
3d integrated circuits,,
energy-efficient vlsi design,,Energy
automata processing,,
hardware software co-design,HW/SW Codesign,Architecture
flexible coupling,,
machine leaning,Machine Learning,Data
tracing jit,,Compilers
usability,,
usable privacy and security,,Security
wireless network security,,Security
kernel integrity,,Security
malware defense,,Security
process calculi,,
human factors,,
computer security & privacy,,Security
pufs and related primitives,,
algorithmic robustness,,
large-scale measurement,,Benchmark
underground economies,,
advertising abuse,,Security
developers,,
documentation,,
threat modeling,,Security
software systems security,,Security
bug finding,,
security of machine learning,,Security
object-capabilities,,
static program analysis,,
secure software engineering,,Security
pki,,Security
mobile and wireless networks,,Network
low power networking,,Energy
microwave,,
secret sharing schemes,,Security
attribute-based encryption,,Security
computer-aided cryptography,,Security
rewriting,,
behavioral authentication,,Security
embedded systems security,,Security
mobile phone security,,Security
identity,,Security
identity management,,Security
secure systems,,Security
interactive systems,,
dialog modeling,,
transparency,,
security & privacy,,Security
distributed systems...,,Concurrency
cryptography and cybersecurity,,
bayesian models and inference,,Data
recommendation system,,Data
computational entropy,,
key derivation,,Security
password policy,,Security
online behavioral advertising,,
it security,,Security
crypto,Cryptography,Security
security economics,,Security
security of networked systems,,Security
user authentication,,Security
infrastructure,,
mobile privacy,,Security
threat intelligence,,Security
software vulnerability,,Security
secure messaging,,Security
programming languages and compilers,,Compilers
critical embedded systems,,
cryptography and information security,,Security
alternative computing technologies,,Architecture
processor cache,,Architecture
3d ic design,,Architecture
feature selection,,Data
gpus security,,Security
energy harvesting architecture,,Architecture
neural signal processing,,Data
covert channels and side channels,,Security
adversarial machine learning,,Security
neural interface & signal processing,,Data
energy-efficient design,,Energy
hardware support for security,,Architecture
malware detection,,Security
multi-core architectu,Multi-core Architectures,Architecture
in memory computing,,Architecture
architecture for emerging workl,,Architecture
computer system architecture,,Architecture
heterogeneous processors,,Architecture
larg-scale system architecture,,Architecture
parallel architecture,,Architecture
nonvolatile memory,,Storage
image sensors,,
parallel and heterogeneous computing,,Concurrency
side channel,,Security
covert channel,,Security
software systems and applications,,
nano photonics,,
software maintenance,,
silicon validation,,Architecture
ultra low power,,Energy
nn acceleration,,Data
green datacenter,,Energy
energy-efficient systems,,Energy
power- and energy-aware systems,,Energy
clock design and synthesis,,Architecture
verification-aware archictecture,,Architecture
high performance processor design and technology,,HPC
energy and power efficiency,,Energy
deep neural networks,,Data
microarchitecture design,,Architecture
ultra-low-power processors,,Energy
analog integrated circuits,,Architecture
high-performance microarchitecture,,Architecture
wireless and sensor networks,,Network
energy efficient processors,,Energy
branch prediction,,Architecture
ultra low power vlsi,,Energy
decision making,,
security engineering,,Security
reflection and aspect-oriented programming,,Compilers
software energy consumption,,Energy
language engineering,,Compilers
open data,,Data
languages,,Compilers
information flow security,,Security
computer languages,,Compilers
programming techniques,,Compilers
object-oriented databases,,DB
object-oriented design,,Compilers
program generation,,Compilers
programming languages and environments,,Compilers
modelling,,
datascience,,Data
language semantics,,Compilers
aspect-oriented software development,,Compilers
programming languages design and implementation,,Compilers
software languages,,Compilers
software language engineering,,Compilers
aspect-oriented programming,,Compilers
object-oriented programming,,Compilers
compiler construction,,Compilers
software languages engineering,,Compilers
mobile network diagnosis,,Network
wireless networks security,,Security
ad hoc networks,,Network
bandwidth aggregation,,Network
performance measurement,,Benchmark
propagation,,Network
networked and mobile systems,,Network
mobile and wearable services,,
green networks,,Network
sensing systems,,
mobile  computing,Mobile Computing,
openflow,,Network
rf/visible light sensing,,
packet loss,,Network
network data mining and analytics,,Data
multihoming,,
big data.,,Data
networked cloud,,Cloud
bio-behavioral sensing,,
scalable distributed storage,,Storage
mobile application qoe,,Network
applied operations research,,
video signal processing and streaming,,Network
network protocol design,,Network
mobile and pervasive computing,,Network
wireless sensors,,Network
network security and science,,Security
smart grids communication systems,,Network
sensor network,,
smart home,,
physical layer security,,Security
5g,,Network
mobile iot systems,,Network
mixed-signal circuit design,,
mobile healthcare,,
tcp,,Network
60 ghz,,
wireless and mobile computing,,Network
wireless platforms,,
rf/microwave circuit design,,
camera imaging systems,,
mobile and wearable computing,,
network protocol,,Network
database kernel,,DB
internet traffic measurement and analysis,,Benchmark
wireless networks.,,Network
thermodynamics,,
wireless sensing,,
ict4d,,
multimedia streaming,,Network
mobile computing and networking,,Network
dynamic spectrum access,,
mobile broadband networks,,Network
wearable and iot networking,,
video streaming,,Network
visible light communication and sensing,,Network
cooperative networks,,Network
quantitative behavioral sciences,,
mobile communications and networking,,Network
mobile networking,,Network
multilink,,
cellular networks,,Network
location privacy,,Security
algorithms for networking,,Network
multimedia network,,Network
mobile broadband (4g/lte),,Network
spectrum sharing,,Network
virtual reality,,
machine learning systems and algorithms,,Data
laser processing,,
mobile computing and wireless networking,,Network
telecommunication networks,,Network
dynamics of complex systems,,
internet routing evolution and scalability,,
green network,,Energy
traffic measurement,,Benchmark
mobile broadband performance,,Network
database technology,,DB
robust and energy-efficient computing,,Energy
advanced computer architecture,,Architecture
renewable energy driven systems,,Energy
interconnect,,Network
photonic networks-on-chip,,Network
wireless interconnect,,Network
cloud.,Cloud,Cloud
healthcare systems,,
systems-on-chip/networks-on-chip,,Network
rf,,Network
energy-efficient computing & desi,,Energy
low-power dependable computing,,Energy
dram architectures,,Architecture
big data systems,,Data
nonvolatile memories,,Storage
multiprocessor systems,,Architecture
resource management and scheduling with guaranteed qos,,OS
cloud cyber-security,,Security
system-level energy optimization,,Energy
robust resource allocation,,OS
secure cryptography,,Security
power/thermal aware computing,,Energy
multicore processor,,Architecture
mmwave,,
energy-efficient computer systems,,Energy
calibrated flow cytometry,,
software dependability and security,,Security
cloud-based analysis,,Cloud
big data management and analytics,,Data
candidate ieee cs 2018 president-elect & 2019 president,,
cloud radio access networks,,Network
dynamically adaptive systems,,
testing and analysis,,
image/video processing,,
organic computing,,
social sensing,,
distributed application,,Concurrency
system virtualization,,VM
vision,,
underwater acoustic communications,,
open information,,
information fusion,,
target tracking,,
engineered self-organization,,
adaptation,,
system of systems,,
petrology,,
service-oriented architectures,,
self-* properties,,
synthetic biology,,
cyber physical system,,
cloud & service computing,,Cloud
mobile edge computing,,
coordination,,
machine learning and deep learning,,Data
volcanology,,
model based software design,,
aggregate programming,,
face and gesture recognition,,
research communities,,
mobile and dynamic software systems,,
empirical methods,,Benchmark
end-user architecting,,
data platforms,,Data
self-adaptive software,,
spatial computing,,
smart grids,,
self-organising and self-adaptive systems,,
distributed and decentralized software architectures,,Concurrency
nonlinear dynamics,,
large scale machine learning,,Data
functional and logic programming,,Compilers
static analysis of dynamic languages,,Compilers
scripting languages,,Compilers
static and dynamic code analysis,,Compilers
call graph,,Compilers
build systems,,Compilers
regression testing,,Compilers
concurrency correctness,,Concurrency
automated deduction,,
data privacy in public clouds,,Security
programming language design,,Compilers
distributed programming,,Concurrency
language design,,Compilers
software measurement,,Benchmark
type theories,,Compilers
design of programming languages,,Compilers
location data,,
intrusion detection,,Security
fuzzing techniques,,Security
systems and network security,,Security
enterprise system security,,Security
cryptographic engineering,,Security
computer science pedagogy,,
physically unclonable functions,,
economics of internet security,,Security
steganography,,Security
memory hard functions,,
design verification,,
rational secure computation,,Security
fixpoint algorithms,,
secure multiparty computation,,Security
(mobile) system security,,Security
code analysis,,
security policies,,Security
autonomous robotics,,
security and privacy in online social networks,,Security
botnets,,
software analysis and testing,,
security of embedded systems,,Security
binary program analysis,,
cs theory,,
mobile computing and sensing,,
probabilistic inference,,
embedded system security,,Security
cryptographie,Cryptography,Security
whitebox cryptography,,Security
verifiable outsourced computation,,
algebraic k-theory,,
critical infrastructure protection,,Security
telecommunication security,,Security
vérification de programmes probabilistes,,
bidirectional transformation,,
security of  computer systems,,Security
applied/adversarial machine learning,,Data
efficient implementations of cryptography,,Security
user-centered security,,Security
ultrasonic imaging and characterization,,
anonymity & systems security,,Security
socio-technical cybersecurity,,Security
trustworthy systems,,Security
security data analytics,,Security
protocol design,,Security
vehicle security and privacy,,Security
exploits,,Security
forensics,,
security &privacy,,Security
modeling & simulation,,Benchmark
security and data mining and networking,,Security
secure set intersection,,Security
in-vehicle networks,,
reactive systems,,
cybercrime vulnerability,,
privacy preserving,,Security
security for supply chain of everything,,Security
p2p security and privacy,,Security
action selection,,
analog cyber security,,Security
iot security,,Security
information-theoretic reductions,,
static analysis of programs,,
passwords,,Security
fairness in ml,,Data
engineering,,
proof-assistants,,
vlsi design and test,,
applied cryptography and security,,Security
vehicle control,,
privacy-aware systems,,Security
theoretical cryptography,,Security
cryptography and lattices,,Security
malicious insiders,,Security
information-centric networking,,Security
iot privacy,,Security
cyber physical system security,,Security
system secutity,,Security
online fraud,,Security
network assurability,,
symbolic execution,,
attacker capabilities and motivations,,Security
private information retrieval,,Security
program language,,Compilers
vehicular systems,,
secure protocols,,Security
web privacy,,Security
kernel hacking,,Security
theory of computing,,
web tracking,,Security
information forensics and security,,Security
privacy technologies,,Security
homomorphic encryption,,Security
equivariant stable homotopy theory,,
voip,,
privacy enchancing technology,,Security
cryptography and cryptocurrency,,Security
economics of computer security,,Security
radar signal processing,,
design for trust,,Security
public policy,,
code (de)obfuscation,,Security
zero-knowledge proofs,,Security
hardware/software codesign,,
cyber criminal infrastructure,,
secure multi-party computation,,Security
bgp,,
private data sharing,,Security
network and distributed system security,,Security
systems security and privacy,,Security
secure embedded systems,,Security
biological flows,,
security analytics,,Security
applied crypto,,Security
theory of cryptography,,Security
linux kernel,,OS
security and privacy in cyberphysical systems,,Security
online advertising fraud,,Security
tree automata,,
privacy-enhancing technologies,,Security
security and privacy of blockchain systems,,Security
euclidean lattices,,
multiphase flows,,
vlsi cad: reliability & security,,Security
formal languages,,
child abuse,,
strategy iteration,,
trusted hardware,,
software process improvement,,
oblivious transfer,,
vehicular networks,,
information flow,,
computer and communications security,,Security
cryptography and security,,Security
visualizations,,
reconfigurable hardware,,Architecture
formally verified systems,,
middleboxes,,
security and trustworthiness,,Security
gps,,
new architectures,,Architecture
traffic measurements,,Benchmark
user behavior modeling,,
internet mapping,,
network management and troubleshooting,,Network
graphs & algorithms,,
computer science: networking,,Network
flow-based measurements,,
online privacy and security,,Security
network cartography,,
rare-event simulation,,
criminological theory,,
networks measurement,,Benchmark
mpls,,
dnssec,,Security
internet topology,,Network
distributed systems and mobility,,
video games,,
streaming systems,,
content-centric networking,,Network
criminology,,
adblocking,,
software defined networking (sdn),,Network
financial crime,,
flamingo project,,
systems performance,,
flow-based measurments,,
dos,,Security
network discovery,,
automated testing,,
systems and architecture,,Architecture
router fingerprinting,,Network
full stack development,,
internet management,,
privacy & anonymity,,Security
ddos,,Security
http,,
cellular network,,Network
software-defined radio,,Network
traffic engineering,,Network
cybersafety,,Security
dynamic graph mining,,
online crime,,
economic crime,,
bigdata system,,Data
power delivery & management,,Energy
optical network,,Network
ecc,,
data context,,Data
big data visualization,,Data
scientific data,,HPC
emergent semantics,,
data integretion,,Data
advanced analytics,,Data
declarative machine learning,,Data
numerical methods for pdes,,HPC
software tools and languages,,Compilers
design space exploration,,
analyse statique,,
transformation de programme,,
recommendation systems,,Data
domain-specific compile/runtime optimization,,Compilers
helper threading,,
evolvable hardware,,Architecture
cryptographic hardware,,Architecture
cache & memory subsystems,,Architecture
server processors,,Architecture
system-aware scheduling,,OS
cache hierarchy,,Architecture
machine learning for compilers,,Compilers
hardware synthesis,,Architecture
compilers and computer architecture,,Architecture
software/hardware codesign,,Architecture
emerging workload characterization & acceleration,,Benchmark
swarm intelligence,,
dynamic optimization,,
learning automata,,
web usage mining,,Data
large scale multi-component simulation,,HPC
quasi-newton methods,,HPC
semi-supervised learning,,Data
pde constraint optimization,,HPC
pcm,,Storage
hadoop/spark,,Data
high-dimensional data analysis,,Data
heterogeneous platforms,,GPGPU
performance modeling and evaluation,,Benchmark
high order numerical methods,,HPC
numerical modeling,,HPC
parallel sparse matrix factorization,,HPC
accelerator computing for big data,,Data
consistent data structure,,Concurrency
storage and file systems.,,Storage
bayesian statistics,,
geology,,
system runtimes,,OS
performance management,,Benchmark
visual analytics,,Data
hpc fault tolerance,,HPC
particle based methods,,HPC
security and systems,,Security
parallel solver for large-scale linear systems and eigenvalue problems,,HPC
plasma physics,,
secure computing systems,,Security
runtime scheduling,,OS
computational condensed matter,,HPC
network-based computing,,Network
social data analysis,,Data
climate system modeling,,HPC
adversarial ml/ai,,Security
biofluid dynamics,,HPC
computational mathematics,,HPC
secure operating systems,,Security
task-data hybrid parallelism,,Concurrency
data analysis and visualization,,Data
power and energy optimization,,Energy
numerical optimization,,HPC
high dimensional data analysis,,Data
sparse matrix partitionin,,HPC
shared-memory parallelism,,Concurrency
application performance,,Benchmark
compilers and runtimes,,Compilers
file system & storage,,Storage
neurociência computacional,Computational Neuroscience,HPC
code parallelization,,Concurrency
computational seismology,,HPC
cfd,,HPC
estimation,,
energy efficient computing systems,,Energy
high speed interconnects,,Network
performance prediction,,Benchmark
applied and computational mathematics,,HPC
high performance parallel algorithm,,Concurrency
parallel io,Parallel I/O,Concurrency
conceptual categorization of text/images,,Data
subgraph detection,,Data
security in cloud computing,,Security
frequent pattern mining,,Data
iot analytics,,Data
data stream mining,,Data
recommendation,,Data
graph anomaly detection,,Data
networked control and optimization,,Network
partial differential equations,,HPC
mobile security and privacy,,Security
clustering,,Data
event log filtering,,Data
v&v of complex systems,,Data
time series mining,,Data
anomaly mining,,Data
social networks analisys,Social Network Analysis,Data
fraud detection,,Security
graph summarization,,Data
forecasting,,Data
large scale pattern recognition,,Data
time series analysis,,Data
web data semantics,,Data
information retrieval & extraction,,Data
big data algorithms and systems,,Data
nonparametric and semiparametric regression,,Data
social network mining,,Data
data summarization,,Data
graph similarity,,Data
machine learning with graphs,,Data
healthcare data modelling,,Data
databases and visual analytics,,DB
large scale data mining,,Data
knowledge graphs,,Data
ubiquitous data science,,Data
causal inference,,Data
time series data mining,,Data
knowledge discovery in databases,,Data
data mining and machine learning,,Data
large-scale data mining,,Data
predictive analytics,,Data
social media mining,,Data
spatiotemporal data analysis,,Data
population informatics,,Data
mobile and wireless systems,,Network
outlier detection,,Data
data mining query language,,Data
healthcare analysis,,Data
in-memory/cloud computing,,Cloud
spatio-temporal data mining,,Data
distributed/parallel dababase systems,,DB
semantic web mining,,Data
ml for reasoning,,Data
advanced analytic systems on large-scale data mining and machi,,Data
resource constraint data analysis,,Data
data warehouse,,Data
spatial data mining,,Data
functional data analysis,,Data
expert systems,,Data
pattern reocognition,,Data
graph matching,,Data
graph based sentiment analysis,,Data
mechine learning,Machine Learning,Data
spatial and temporal data,,Data
machine learning for healthcare,,Data
ensemble methods,,Data
missing data,,Data
probabilistic topic models,,Data
social data mining,,Data
social media analytics,,Data
data and text mining,,Data
heterogeneous graph analytics,,Data
classification,,Data
temporal mining,,Data
semantic search,,Data
web service security,,Security
data exploration,,Data
knowledge discovery and data mining,,Data
social-media analysis,,Data
big data platform,,Data
machine learning and pattern recognition,Machine Learning and Pattern Recognition,Data
network intrusion detection,,Security
text and data mining,,Data
mobile big data,,Data
music information retrieval,,Data
social-network analysis,,Data
social and collaborative ir,,Data
information retreival,,Data
dbs,,DB
information retrieval & recommendation,,Data
social analytics,,Data
temporal web mining,,Data
social and information network analysis,,Data
data science for social go,,Data
behavioral analytics,,Data
privacy preserving computation,,Security
big data systems and analytics,,Data
mobility & privacy,,Security
data-intensive systems,,Data
massive data,,Data
topic models,,Data
high-dimensional data and data streams,,Data
data analysis algorithms,,Data
algorithmic data analysis,,Data
statistical data analysis,,Data
data science & big data,,Data
individual data mining,,Data
feature analysis,,Data
web information retrieval,,Data
clustering algorithms,,Data
[web] information retrieval,,Data
machine leaning and optmization,,Data
data exploration and visualization,,Data
privacy preserving data mining,,Security
information storage and retrieval,,Storage
privacy preservation,,Security
text mining and machine learning,,Data
data exchange and integration,,Data
sports analytics,,Data
web data mining,,Data
[web] data mining,,Data
high perfomance computing,,HPC
machine learning & big data mining,,Data
educational big data,,Data
data gathering,,Data
big data analytics and systems,,Data
data-mining,,Data
massive data algorithms,,Data
applied data science,,Data
collaborative filtering,,Data
graph and social network analysis,,Data
statistical topic modeling,,Data
data warehousing/olap,,DB
economic data science,,Data
data analytics for security,,Security
communication network algorithms,,Network
network computing,,Network
media security,,Security
machine learning and its applications,,Data
data science for conservation,,Data
machine learning and applications,,Data
nosql databases,,DB
data engineering,,Data
text data mining,,Data
large-scale graph mining,,Data
web search and mining,,Data
cloud-assisted media sys,,Cloud
machine learning and data mining,,Data
big data mining,,Data
interpretable machine learning,,Data
visualized data aanalytics and exploration,,Data
storage management,,Storage
spatiotemporal statistical methods,,
system management,,OS
software-defined networks,,Network
code optimization,,
"big data and ""cloud"" computing",,Data
automated dbms tuning,,DB
resource management on heterogeneous clusters,,OS
log-gaussian cox processes,,
overlay communications & sdn,,Network
language runtime systems,,Compilers
filtering m,,
spatial survival analysis,,
cloud management,,Cloud
millimeter-wave communications,,Network
software defined infrastructure,,Network
distributed and networked systems,,Concurrency
visible light communication,,Network
beam-forming,,
backscatter networks,,Network
software defined radio and networking,,Network
sensor networking,,Network
millimeter waves,,
software defined radios,,Network
flow monitoring,,Network
road traffic,,
energy systems,,
brain data analysis,,
computer system security.,,Security
mobility models estimation and prediction,,
software defined network (sdn),SDN,Network
internet architectures,,Network
computer forensic,,
network functions virtualization,,VM
wireless phy & mac layers,,Network
wireless network algorithms,,Network
digital communications,,Network
channel estimation,,Network
advanced driving assistance system (adas),,
high penetration pv,,
full duplex,,Network
mobile applications and operating systems,,OS
information centric networking,,Network
autonomous driving,,
wirepless networks,Wireless Networks,
networking ...,Networking,Network
congestion_control,,Network
next generation networks architecture,,Architecture
software-defined radios,,Network
traffic modeling,,
video delivery,,Network
mimo,,
queuing systems,,Network
realtime data streaming,,Network
energy networks,,Energy
indoor localization,,
cooperative communications,,Network
scada networks,,Network
computer networks.,,Network
diffusion and functional imaging,,
tensors,,
domain-specific computing,,
linear solvers,,
autonomic datacenter management,,
progressive and multi-resolution techniques for scientific visualizat,,
materials informatics,,
reconfigurable computing & hardware accelerator,,Architecture
software technology,,
design automation and recovery,,
software metrics,,
コンピュータアーキテクチャ,,
software for next gen systems,,
data sciences,,Data
sparse representations,,
root-cause analysis,,
parallel computing and computational biology,,Concurrency
diffusion mri,,
hardware accelerator,,GPGPU
power management - low-power design,,Energy
domain-specific optimization,,
brain connectomes,,
massive-scale analytics,,Data
fault/failure diagnosis,,
convex optimization,,
parallel and distributed computing and systems,,Concurrency
vlsi architectures,,Architecture
ad-hoc networks,,Network
configurable architecture,,Architecture
neuroinformatics,,
resource scheduling,,OS
systom-on-chip - noc,,Network
topological methods for image segmentation,,
spatiotemporal computing,,
system development,,
high-end computing systems,,
log-analysis,,
evolvable hardware.,,Architecture
3d ics,,Architecture
microprocessor design,,Architecture
vlsi architecture design,,Architecture
networks-on-chip (noc),,Network
dynamic graph algorithms,,
semantic computing.,,
computer architecture and networks,,Network
neural activity sequences,,
packet processing & traffic analysis,,Network
compiler technologies,,Compilers
hardware digital design,,Architecture
reducing inefficiencies,,
geo-distributed applications,,Network
mobile web,,Network
improving quality of our daily life,,
performance portability,,
coding for distributed storage systems,,Storage
machine learning & big data,,Data
similarity search,,
wireless networking and network security,,Network
cloud computing and big data,,Data
mobile ad hoc networks,,Network
3g/4g mobile network,,Network
graphs as linear algebra,,
intelligence artificielle,Artificial Intelligence,
cloud security and resiliency,,Security
fault tolerance in hpc,,HPC
database security,,Security
cloud compouting,Cloud Computing,Cloud
gpu-computing,,GPGPU
software-defined network (sdn),,Network
text mining and data analytic,,Data
file system and storage,,Storage
text analytics,,Data
deep machine learning.,,Data
schema/structure discovery,,DB
network planning,,Network
content-based multimedia information retrieval,,Data
optical communication. sdn,,Network
methods and algorithms for massive data management,,Data
cost effictive scheduling and resource allocation in distributed computing systems,,OS
information storage,,Storage
optical communications,,Network
videogame and security,,Security
optical and wireless networks,,Network
tcp/ip,,Network
cloud computing env. stochastic optimi,,Cloud
autonomic power/energy and performance management of the cloud computing systems,,Cloud
cloud computing & iot,,Cloud
distributued algorithm,,Concurrency
open distributed systems,,Concurrency
mpi， computational scien,,Network
smart buildings/cities,,
semiconductors,,
cost-effective computing,,
ray tracing,,
fault-tolerant systems,,
transistors,,
cps and iot,,
video surveillance,,
compound semiconductors,,
system level design,,
emerging computing architectures and paradigms,,
analog,,
theoretical foundations of cyber-physical systems,,
live video databases,,
electronic materials,,
computer and information sciences,,
mixed signal,,
mobile and connected health,,
emerging computing paradigms and technologies,,
emerging devices,,
brain & physiological modeling,,
mpsocs,,
computing systems,,
safety-critical systems,,
2.5d/3d packaging,,
application development,,
moving target defense,,
compute in-memory,,Architecture
memory & interconnect design,,Architecture
computer architecture and compiler,,Architecture
intrusion detection system,,Security
critical infrastructure security,,Security
operational cyber security,,Security
static and dynamic security program analysis,,Security
vulnerability analysis,,Security
vehicle security,,Security
disks,,Storage
sensing and mobile system,,
sistemas distribuídos,Distributed Systems,Concurrency
software and systems performance evaluation,,Benchmark
progamming language,,
mobile distributed systems,,Concurrency
learning systems,,Data
adaptive filtering,,
stochastic approximation,,
3d reconstruction,,
system and architecture,,
distributed optimization,,Concurrency
stereo,,
parallel and distributed data processing,,Concurrency
computer-aided-design,,
chip design,,Architecture
vlsi low power design,,Architecture
low-power,,Energy
sustainable datacenters,,Energy
power optimization,,Energy
system photonics,,
autonomic computing systems,,
network-on-chip (noc),,Network
deep neural network,,Data
information science,,
big data and 'cloud' computing,,Data
event-driven programming,,
security and reliability,,Security
numa architectures,,Architecture
storage engine,,Storage
systems for big data,,Data
software correctness,,
fault isolation,,
bft,,
vehicular ad hoc networks,,Network
biomimicry,,
cloud/edge computing,,Cloud
network filesystem,,Storage
nanoparticles,,
document image analysis,,
cmp cache management,,Architecture
multi-site clouds,,Cloud
particle physics,,
biomaterials,,
therapeutics,,
container technology,,VM
disaggregated hardware,,Architecture
crdt,,
5g resource allocation,,Network
auction,,
secure databases,,Security
active business intelligence,,
database systems and transaction processin,database systems and transaction processing,DB
streaming processing,,
business data science,,Data
data cleaning and integration,,Data
statistical data privacy,,Security
computer sciene,Computer Science,
kv stores,,Storage
data movement,,Data
design and test,,
operational research,,
i/o and storage,,Storage
human-robot collaboration,,
robust learning,,
system security and privacy,,Security
radiation transport,,
scalable deep learning,,Data
cgras,,
adaptive sampling,,
adaptive data structures,,
energy aware systems,,Energy
network on chips,,Network
source to source transformation,,Compilers
run time support,,Compilers
statistical signal and image analysis,,Data
data approximation,,Data
numerical software for scientific computing,,HPC
iterative solvers,,HPC
in-memory computing,,Architecture
benchmarks,,Benchmark
large eddy simulation,,HPC
methods and tools for cpu performance,,Benchmark
it,,
geophysics,,
molecular simulations,,HPC
free surface flow,,
electron transport,,
pattern recognition in medical imaging,,
wind energy,,
compute near data,,
computational materials science,,HPC
science gateways,,
eigenvalue problems,,
image understanding,,
computer aided geometric design (cagd),,
stochastic and discrete optimization,,
biomechanics,,
electromegnetics,,
earthquakes,,
computação paralela,Parallel Computing,Concurrency
collaborative computing,,
reversible computation,,
generative models,,
open quantum systems,,
high order fes,,
seismic imaging,,
boundary integral equations,,
robust statistics,,
composites,,
scientific software,,HPC
image computing,,
molecular solvation,,
video processing and visualization,,
multiscale models,,
data-enabled science,,
fragment molecular orbital method,,
earthquake source physics,,
optimization & decentralized control,,
cluster elasticity,,
inversion,,
h-matrices,,
asymptotics analysis,,
queues,,
color and multispectral image,,
embedded/cyber-physical systems,,
interfaces,,
grades computacionais,,
large scale optimization,,
fea,,
porous media,,
analysis and interpretation,,
radiation effects in electronics,,
nanostructure,,
neurophysiology,,
fracture mechanics,,
software sustainability,,
first-principles,,
systems reliability,,
mathematical foundations of graphics,,
biofuels and energy,,
brain-tumor simulation,,HPC
computer programming,,
scm,,
polyhedral framework,,
full waveform inversion,,
neurally-inspired computing,,
hardware security.,Hardware Security,Security
software defined radio,,Network
cloud cmputing,,Cloud
scientific workloads,,Benchmark
data modeling,,Data
big-data management,,Data
net-centric collaboration,,
db,,DB
data analytics systems,,Data
ml systems,,Data
nvm,,Storage
storage systems reliability,,Storage
crash consistency,,Storage
nvme,,Storage
caching,,Storage
nand flash memory,,Storage
storage software,,Storage
parallel and distributed simulation/computing,,Concurrency
physical design,,
algorithms for massive data sets,,Data
algorithms design,,
algorithmic graph theory,,
bio-inspired algorithms,,
algorithms & data structures,,
simulation & modeling,,Benchmark
information mining,,Data
artificial intellegence,Artificial Intelligence,
weak memory models,,Architecture
heterogeneous data,,Data
intelligenza artificiale,Artificial Intelligence,
distributed programing,,Concurrency
topic model,,Data
information_retrieval,Information Retrieval,
data recommendation,,Data
social  sensing,Social Sensing,
data base,Database,DB
mapreduce algorithms for big data analysis,,Data
data minimg,Data Mining,Data
system and networking,,Network
software networking,,Network
reliability and dependability,,
pricing theory,,
network performance,,Network
glaciology,,
quic,,Network
computación de altas prestaciones,HPC,HPC
compiler design and implementation,,Compilers
heterogeneus systems,,GPGPU
parallelim,Parallelism,Concurrency
software define networking,SDN,Network
containers,,VM
cloud applications,,Cloud
gpgpu programming,,GPGPU
shared memory concurrent systems,,Concurrency
heterogenous multicores,,Architecture
safety critical systems,,
reliable software,,
lightweight threading,,Concurrency
computer system and architecture,,Architecture
tensor algebra,,
randomization method,,
distributed information processing,,Concurrency
high-level i/o interfaces,,Storage
virtualization and cloud computing,,Cloud
flow visualization,,
rotating and stratified flows,,
mhd,,
quantum turbulence,,
ecology,,
ai & robotics,,
cloud and distributed systems,,Cloud
optimization algorithm,,
mobile and service computing,,
data structure,,
domain specic languages,,Compilers
multiscale modeling,,HPC
atomistic simulations,,HPC
integrated imaging,,
scheduling and resource management,,OS
fem/fea,,HPC
hpc data i/o,,Storage
distributed systems for big data analytics,,Concurrency
neural network,,Data
serverless architecture,,Cloud
middlewre,,OS
container,,VM
consistency,,
environmental informatics,,
embedded and pervasive systems,,
knowledge media & serious games,,
nanobiotechnology,,
(meta)genomics,,
inference-based adaptive communication,,
enterprise systems,,
microbial ecology and computational biology,,
'metadata' and contextual data,,
mechanobiology,,
publish/subscribe,,
distributed sensing,,
molecular engineering,,
multiplayer games,,
internet of things (iot),,
fault tolerant,,
convolutional neural networks,,
energy-efficient architectures,,Energy
computer architechture,Computer Architecture,Architecture
deep learning for improving security,,Data
hardware system design,,Architecture
nvms,,Storage
